anio,cat_inac,cat_ocup,ch03,ch04,ch06,ch07,ch08,ch12,ch13,ch14,codusu,estado,ipcf,itf,miembros_hogar,nivel_ed,nro_hogar,pondera,pp03d,pp04a,pp04c,pp10a,pp3e_tot,pp3e_tot_missing,pp3f_tot,pp3f_tot_missing,lp_pc,pobre
2005,0.0,3.0,3.0,2.0,27.0,5.0,4.0,4.0,1.0,,129184,1.0,177.5,710.0,4.0,4.0,1.0,372.0,0.0,2.0,3.0,0.0,18.0,0,0.0,0,205.07,1
2005,6.0,0.0,3.0,1.0,30.0,5.0,1.0,2.0,1.0,,129184,3.0,177.5,710.0,4.0,2.0,1.0,372.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,1
2005,1.0,0.0,1.0,1.0,65.0,4.0,1.0,6.0,1.0,,129681,3.0,1000.0,1000.0,1.0,6.0,1.0,298.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,0
2005,0.0,3.0,1.0,1.0,31.0,5.0,4.0,4.0,1.0,,130103,1.0,600.0,1200.0,2.0,4.0,2.0,284.0,0.0,2.0,99.0,0.0,40.0,0,0.0,0,205.07,0
2005,0.0,3.0,10.0,1.0,28.0,5.0,1.0,4.0,1.0,,130103,1.0,600.0,1200.0,2.0,4.0,2.0,284.0,0.0,1.0,99.0,0.0,30.0,0,0.0,0,205.07,0
2005,4.0,0.0,1.0,2.0,29.0,1.0,1.0,4.0,1.0,,130325,3.0,290.0,870.0,3.0,4.0,1.0,348.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,0
2005,0.0,3.0,2.0,1.0,33.0,1.0,1.0,4.0,1.0,,130325,1.0,290.0,870.0,3.0,4.0,1.0,348.0,2.0,1.0,11.0,0.0,48.0,0,24.0,0,205.07,0
2005,5.0,0.0,3.0,2.0,1.0,5.0,1.0,,,,130325,4.0,290.0,870.0,3.0,7.0,1.0,348.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,0
2005,1.0,0.0,1.0,2.0,78.0,4.0,12.0,4.0,1.0,,130794,3.0,400.0,400.0,1.0,4.0,1.0,529.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,0
2005,7.0,0.0,1.0,2.0,68.0,3.0,4.0,2.0,1.0,,131047,3.0,125.71428571428572,880.0,7.0,2.0,1.0,308.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,205.07,1
