pais,sexo,edad,satisfaccion_vida,situacion_pais,economia_actual,economia_vs12m,economia_12m_futuro,confianza_interpersonal,preferencia_democracia,satisfaccion_democracia,satisfaccion_economia,aprueba_presidente,ideologia_izq_der,justicia_distributiva,nivel_democratico_pais,elecciones_limpias,inmigrantes_ayudan_economia,inmigrantes_compiten_trabajo,inmigrantes_aumentan_crimen,mercado_unico_desarrollo,justicia_no_dura_con_delito,impacto_inmigracion_pais,existe_cambio_climatico,me_importa_medioambiente,obligacion_proteger_medioambiente,importa_impacto_otros,proteger_para_futuras_gen,dispuesto_ahorrar_electricidad,dispuesto_cambiar_alimentacion,derecho_plantas_animales,delincuencia_ult12m,drogadiccion_ult12m,corrupcion_ult12m,corrupcion_0a10,clase_social,suficiencia_ingresos,raza_etnia,educacion_anios,situacion_ocupacional
32.0,Hombre,77.0,Bastante satisfecho/a,En retroceso,Muy mala,Mucho peor,Mucho peor,Se puede confiar en la mayoría,Prefiere democracia,Nada satisfecho/a,Nada satisfecho/a,2.0,3.0,Muy injusta,,Limpias,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,Ni beneficia ni perjudica,Sí,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Igual,,Igual,3.0,Media,Algo suficiente,Blanco/a,15.0,Jubilado/a o pensionado/a
32.0,Mujer,19.0,Muy satisfecho/a,En retroceso,Muy mala,Mucho peor,Mucho peor,Nunca se es suficientemente cuidadoso,Prefiere democracia,Bastante satisfecho/a,Nada satisfecho/a,2.0,3.0,Injusta,4.0,Limpias,Muy de acuerdo,En desacuerdo,Muy en desacuerdo,Muy en desacuerdo,En desacuerdo,Ni beneficia ni perjudica,Sí,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,Muy de acuerdo,Aumentó poco,Igual,Aumentó poco,,Media,Algo suficiente,Blanco/a,13.0,Asalariado sector privado
32.0,Mujer,72.0,Bastante satisfecho/a,En retroceso,Muy mala,Mucho peor,Mucho peor,Nunca se es suficientemente cuidadoso,Autoritarismo puede ser preferible,Poco satisfecho/a,Nada satisfecho/a,2.0,5.0,Injusta,5.0,Fraudulentas,En desacuerdo,De acuerdo,De acuerdo,Muy en desacuerdo,De acuerdo,Perjudica,Sí,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Aumentó poco,Aumentó poco,Aumentó mucho,10.0,Media,Algo suficiente,Blanco/a,13.0,Jubilado/a o pensionado/a
32.0,Mujer,45.0,Bastante satisfecho/a,En retroceso,Muy mala,Mucho peor,Mucho peor,Nunca se es suficientemente cuidadoso,Prefiere democracia,Nada satisfecho/a,Nada satisfecho/a,2.0,3.0,Muy injusta,6.0,Limpias,De acuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Ni beneficia ni perjudica,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,7.0,Media,Algo suficiente,Blanco/a,15.0,Independiente/cuenta propia
32.0,Hombre,22.0,Muy satisfecho/a,Progresando,Regular,Un poco mejor,Un poco mejor,Nunca se es suficientemente cuidadoso,Prefiere democracia,Poco satisfecho/a,Bastante satisfecho/a,1.0,7.0,Injusta,6.0,Limpias,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,Beneficia,Sí,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Aumentó poco,Disminuyó poco,Disminuyó poco,6.0,Alta,Muy suficiente,Blanco/a,15.0,Tareas del hogar
32.0,Hombre,33.0,Bastante satisfecho/a,En retroceso,Muy mala,Mucho peor,Mucho peor,Nunca se es suficientemente cuidadoso,Prefiere democracia,Nada satisfecho/a,Nada satisfecho/a,2.0,3.0,Muy injusta,3.0,Limpias,De acuerdo,De acuerdo,En desacuerdo,Muy en desacuerdo,En desacuerdo,Ni beneficia ni perjudica,Sí,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,10.0,Media baja,Poco suficiente,Blanco/a,15.0,Asalariado sector público
32.0,Hombre,31.0,Muy satisfecho/a,En retroceso,Mala,Un poco mejor,Igual,Nunca se es suficientemente cuidadoso,Prefiere democracia,Muy satisfecho/a,Poco satisfecho/a,1.0,5.0,Injusta,7.0,Fraudulentas,De acuerdo,Muy en desacuerdo,Muy en desacuerdo,En desacuerdo,De acuerdo,,Sí,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Aumentó poco,Aumentó poco,Aumentó poco,2.0,Media alta,Algo suficiente,Blanco/a,15.0,Asalariado sector público
32.0,Hombre,38.0,Bastante satisfecho/a,Estancado,Mala,Mucho peor,Mucho peor,Se puede confiar en la mayoría,Prefiere democracia,Bastante satisfecho/a,Nada satisfecho/a,2.0,6.0,Muy injusta,,Limpias,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Ni beneficia ni perjudica,Sí,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,Aumentó poco,Igual,Igual,5.0,Media baja,Poco suficiente,Blanco/a,,Independiente/cuenta propia
32.0,Mujer,64.0,Bastante satisfecho/a,En retroceso,Muy mala,Mucho peor,Un poco peor,Se puede confiar en la mayoría,Prefiere democracia,Bastante satisfecho/a,Nada satisfecho/a,2.0,3.0,Injusta,,Limpias,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Ni beneficia ni perjudica,Sí,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Aumentó mucho,Aumentó mucho,Aumentó mucho,,Media,Algo suficiente,Blanco/a,13.0,Independiente/cuenta propia
32.0,Mujer,25.0,Bastante satisfecho/a,Estancado,Mala,Mucho peor,,Se puede confiar en la mayoría,Prefiere democracia,Bastante satisfecho/a,Nada satisfecho/a,2.0,,Injusta,,Limpias,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Ni beneficia ni perjudica,Sí,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,Aumentó poco,Igual,Igual,6.0,,Algo suficiente,Blanco/a,13.0,Independiente/cuenta propia
