codusu,nro_hogar,ch04,ch06,ch07,ch08,nivel_ed,estado,cat_inac,itf,ipcf,pondera,pondih,cat_ocup,pp03d,pp3e_tot,pp3f_tot,pp04a,pp04c,pp10a,pp3e_tot_missing,pp3f_tot_missing,anio
TQRMNOSTUHMMKNCDEIGED00880383,1,1,37,1,1.0,3,1,0,3830000.0,957500.0,182.0,210.0,3,0.0,80.0,0.0,1.0,8.0,,0,0,2025
TQRMNOQXWHJNLMCDEIGED00876687,1,2,4,5,1.0,7,4,5,1600000.0,400000.0,113.0,115.0,0,,,,,,,0,0,2025
TQRMNOQXWHJNLMCDEIGED00876687,1,1,11,5,1.0,3,3,3,1600000.0,400000.0,113.0,115.0,0,,,,,,,0,0,2025
TQRMNORYVHKMLMCDEIGED00857409,1,1,51,2,1.0,4,3,1,7500000.0,3750000.0,163.0,150.0,0,,,,,,,0,0,2025
TQRMNORYVHKMLMCDEIGED00857409,1,2,50,2,1.0,4,3,1,7500000.0,3750000.0,163.0,150.0,0,,,,,,,0,0,2025
TQRMNOQWUHMMLNCDEFIAH00880433,1,1,6,5,1.0,1,4,3,7400000.0,1057142.86,783.0,1508.0,0,,,,,,,0,0,2025
TQRMNOTYQHLOLRCDEFIAH00851578,1,2,24,1,4.0,3,3,4,1200000.0,400000.0,1551.0,2163.0,0,,,,,,,0,0,2025
TQRMNOTYQHLOLRCDEFIAH00851578,1,1,34,1,1.0,3,1,0,1200000.0,400000.0,1551.0,2163.0,3,0.0,48.0,0.0,2.0,,,0,0,2025
TQRMNOTYQHLOLRCDEFIAH00851578,1,1,4,5,1.0,7,4,5,1200000.0,400000.0,1551.0,2163.0,0,,,,,,,0,0,2025
TQRMNOQWUHMMLNCDEFIAH00880433,1,1,52,2,1.0,5,1,0,7400000.0,1057142.86,783.0,1508.0,1,0.0,40.0,0.0,2.0,5.0,,0,0,2025
TQRMNOQWUHMMLNCDEFIAH00880433,1,2,47,2,1.0,6,1,0,7400000.0,1057142.86,783.0,1508.0,3,0.0,20.0,0.0,2.0,9.0,,0,0,2025
TQRMNOQWUHMMLNCDEFIAH00880433,1,1,22,5,1.0,5,1,0,7400000.0,1057142.86,783.0,1508.0,3,0.0,18.0,0.0,2.0,5.0,,0,0,2025
TQRMNOQWUHMMLNCDEFIAH00880433,1,1,20,5,1.0,5,1,0,7400000.0,1057142.86,783.0,1508.0,3,0.0,,0.0,2.0,5.0,,1,0,2025
TQRMNOQWUHMMLNCDEFIAH00880433,1,1,18,5,1.0,3,1,0,7400000.0,1057142.86,783.0,1508.0,3,0.0,,0.0,2.0,5.0,,1,0,2025
TQRMNOQWUHMMLNCDEFIAH00880433,1,2,12,5,1.0,3,3,3,7400000.0,1057142.86,783.0,1508.0,0,,,,,,,0,0,2025
TQRMNOSWPHLMKNCDEFJAH00876646,1,1,36,1,1.0,5,1,0,2500000.0,833333.33,512.0,984.0,3,0.0,40.0,0.0,2.0,6.0,,0,0,2025
TQRMNOSWPHLMKNCDEFJAH00876646,1,2,35,1,1.0,5,1,0,2500000.0,833333.33,512.0,984.0,1,0.0,40.0,0.0,2.0,6.0,,0,0,2025
TQRMNOSWPHLMKNCDEFJAH00876646,1,2,1,5,1.0,7,4,5,2500000.0,833333.33,512.0,984.0,0,,,,,,,0,0,2025
TQRMNOPQPHLMKOCDEFJAH00861093,1,2,64,5,1.0,5,3,1,393000.0,393000.0,424.0,412.0,0,,,,,,,0,0,2025
TQRMNOPWWHJMKOCDEFJAH00876718,1,1,83,1,1.0,2,3,1,0.0,0.0,419.0,,0,,,,,,,0,0,2025
TQRMNOPWWHJMKOCDEFJAH00876718,1,2,78,1,1.0,3,3,4,0.0,0.0,419.0,,0,,,,,,,0,0,2025
TQRMNOSXQHKMKMCDEFJAH00861044,1,1,76,2,1.0,4,3,1,0.0,0.0,431.0,,0,,,,,,,0,0,2025
TQRMNOSXQHKMKMCDEFJAH00861044,1,1,81,2,1.0,6,3,1,0.0,0.0,431.0,,0,,,,,,,0,0,2025
TQRMNOSXQHKMKMCDEFJAH00861044,1,1,19,5,1.0,5,3,3,0.0,0.0,431.0,,0,,,,,,,0,0,2025
TQRMNOQQYHKOLPCDEFLID00857914,1,2,72,5,1.0,2,3,1,458000.0,229000.0,196.0,321.0,0,,,,,,,0,0,2025
TQRMNOQQYHKOLPCDEFLID00857914,1,2,29,5,4.0,3,3,3,458000.0,229000.0,196.0,321.0,0,,,,,,,0,0,2025
TQRMNOPVSHLLLTCDEFLID00851937,1,1,85,2,1.0,2,3,1,990000.0,495000.0,469.0,536.0,0,,,,,,,0,0,2025
