codusu,nro_hogar,ch04,ch06,ch07,ch08,nivel_ed,estado,cat_inac,ipcf,pondera,cat_ocup,pp03d,pp3e_tot,pp3f_tot,pp04a,pp04c,pp10a,pp3e_tot_missing,pp3f_tot_missing,anio,itf,pondih
131398,1.0,2.0,49.0,2.0,1.0,4.0,1.0,0.0,750.0,366.0,3.0,0.0,38.0,0.0,2.0,11.0,0.0,0,0,2005,,
131398,1.0,1.0,24.0,5.0,1.0,5.0,3.0,3.0,750.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
131398,1.0,2.0,13.0,5.0,1.0,3.0,3.0,3.0,750.0,366.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
131700,1.0,2.0,48.0,3.0,1.0,5.0,3.0,2.0,640.0,588.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
131700,1.0,1.0,19.0,5.0,1.0,3.0,1.0,0.0,640.0,588.0,3.0,0.0,48.0,0.0,2.0,99.0,0.0,0,0,2005,,
131808,1.0,1.0,63.0,2.0,4.0,2.0,1.0,0.0,178.33333333333334,241.0,2.0,2.0,30.0,20.0,2.0,2.0,0.0,0,0,2005,,
131808,1.0,2.0,59.0,2.0,4.0,7.0,3.0,4.0,178.33333333333334,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
131808,1.0,1.0,12.0,5.0,4.0,1.0,3.0,3.0,178.33333333333334,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
131808,1.0,1.0,6.0,5.0,4.0,1.0,4.0,3.0,178.33333333333334,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
131808,1.0,1.0,11.0,5.0,4.0,1.0,3.0,3.0,178.33333333333334,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
131808,1.0,1.0,16.0,5.0,4.0,1.0,1.0,0.0,178.33333333333334,241.0,3.0,2.0,30.0,30.0,2.0,2.0,0.0,0,0,2005,,
131891,1.0,2.0,79.0,4.0,12.0,2.0,3.0,1.0,341.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
132321,1.0,2.0,79.0,4.0,1.0,2.0,3.0,1.0,390.0,364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
132377,1.0,2.0,76.0,4.0,1.0,2.0,3.0,1.0,332.5,272.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
132377,1.0,1.0,36.0,3.0,4.0,4.0,1.0,0.0,332.5,272.0,3.0,2.0,17.0,16.0,2.0,3.0,0.0,0,0,2005,,
133165,1.0,1.0,60.0,2.0,1.0,2.0,3.0,1.0,850.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
133165,1.0,2.0,56.0,2.0,1.0,3.0,3.0,4.0,850.0,293.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
133165,1.0,1.0,26.0,5.0,1.0,4.0,1.0,0.0,850.0,293.0,3.0,0.0,48.0,0.0,2.0,12.0,0.0,0,0,2005,,
133264,1.0,1.0,44.0,5.0,1.0,2.0,1.0,0.0,450.0,623.0,3.0,0.0,48.0,0.0,2.0,3.0,0.0,0,0,2005,,
133264,1.0,2.0,14.0,5.0,1.0,3.0,3.0,3.0,450.0,623.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
133368,1.0,1.0,33.0,2.0,4.0,2.0,1.0,0.0,91.66666666666669,372.0,3.0,0.0,40.0,0.0,2.0,3.0,0.0,0,0,2005,,
133368,1.0,2.0,30.0,2.0,4.0,2.0,1.0,0.0,91.66666666666669,372.0,3.0,0.0,0.0,0.0,1.0,6.0,0.0,0,0,2005,,
133368,1.0,2.0,12.0,5.0,4.0,1.0,3.0,3.0,91.66666666666669,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
133368,1.0,2.0,10.0,5.0,4.0,1.0,3.0,3.0,91.66666666666669,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
133368,1.0,1.0,8.0,5.0,4.0,1.0,4.0,3.0,91.66666666666669,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
133368,1.0,1.0,2.0,5.0,4.0,7.0,4.0,5.0,91.66666666666669,372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
133851,1.0,2.0,86.0,4.0,12.0,6.0,3.0,1.0,1125.0,672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
133851,1.0,1.0,20.0,5.0,1.0,5.0,3.0,3.0,1125.0,672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
133851,2.0,2.0,40.0,5.0,2.0,4.0,1.0,0.0,400.0,672.0,3.0,0.0,28.0,0.0,2.0,0.0,0.0,0,0,2005,,
133852,1.0,1.0,57.0,2.0,1.0,2.0,1.0,0.0,275.0,249.0,3.0,0.0,30.0,0.0,1.0,11.0,0.0,0,0,2005,,
133852,1.0,2.0,50.0,2.0,1.0,4.0,3.0,4.0,275.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
133852,1.0,1.0,29.0,1.0,4.0,3.0,3.0,7.0,275.0,249.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2005,,
133852,1.0,2.0,36.0,1.0,1.0,4.0,1.0,0.0,275.0,249.0,3.0,0.0,40.0,0.0,2.0,10.0,0.0,0,0,2005,,
134359,1.0,1.0,40.0,2.0,1.0,6.0,1.0,0.0,925.0,269.0,3.0,0.0,50.0,0.0,2.0,7.0,0.0,0,0,2005,,
