codusu,nro_hogar,ch04,ch06,ch07,ch08,nivel_ed,estado,cat_inac,itf,ipcf,pondera,pondih,cat_ocup,pp03d,pp3e_tot,pp3f_tot,pp04a,pp04c,pp10a,pp3e_tot_missing,pp3f_tot_missing
TQRMNOTSTHLMLPCDEIMBF00855878,2,2,5,5,4.0,1,4,5,1018000.0,203600.0,221.0,358.0,0,,,,,,,0,0
TQSMNOPSSHLNLQCDEIMBF00855985,1,1,41,2,4.0,1,1,0,400000.0,100000.0,173.0,203.0,3,0.0,60.0,0.0,2.0,2.0,,0,0
TQSMNOPSSHLNLQCDEIMBF00855985,1,2,41,2,4.0,3,3,4,400000.0,100000.0,173.0,203.0,0,,,,,,,0,0
TQSMNOPSSHLNLQCDEIMBF00855985,1,2,15,5,4.0,3,3,3,400000.0,100000.0,173.0,203.0,0,,,,,,,0,0
TQSMNOPSSHLNLQCDEIMBF00855985,1,2,5,5,4.0,7,4,5,400000.0,100000.0,173.0,203.0,0,,,,,,,0,0
TQVMNORXUHLLLUCDEFKID00851760,1,2,24,5,1.0,5,1,0,325000.0,325000.0,1770.0,2164.0,3,3.0,10.0,6.0,2.0,0.0,,0,0
TQRMNOPVSHJOLSCDEFKID00877862,1,1,26,5,4.0,4,2,0,0.0,0.0,881.0,802.0,3,,,,,,2.0,0,0
TQRMNOTXPHLMMMCDEFKID00851910,1,2,55,3,1.0,4,1,0,1580000.0,790000.0,744.0,1014.0,2,0.0,45.0,0.0,2.0,1.0,,0,0
TQRMNOTXPHLMMMCDEFKID00851910,1,1,19,5,1.0,5,3,3,1580000.0,790000.0,744.0,1014.0,0,,,,,,,0,0
TQRMNOQSVHKMLSCDEFIAH00861627,1,1,32,1,1.0,4,1,0,1150000.0,383333.33,760.0,1338.0,3,0.0,20.0,0.0,1.0,10.0,,0,0
TQRMNOQSVHKMLSCDEFIAH00861627,1,2,33,1,1.0,6,1,0,1150000.0,383333.33,760.0,1338.0,3,0.0,15.0,0.0,1.0,12.0,,0,0
TQRMNOQSVHKMLSCDEFIAH00861627,1,2,2,5,1.0,7,4,5,1150000.0,383333.33,760.0,1338.0,0,,,,,,,0,0
TQRMNORWQHKOLTCDEFIAH00860925,1,1,65,2,1.0,4,3,4,800000.0,400000.0,675.0,1137.0,0,,,,,,,0,0
TQRMNORWQHKOLTCDEFIAH00860925,1,2,63,2,1.0,7,3,4,800000.0,400000.0,675.0,1137.0,0,,,,,,,0,0
TQRMNOSXRHMMLMCDEIKAH00877884,1,2,73,4,1.0,6,3,1,501000.0,501000.0,884.0,493.0,0,,,,,,,0,0
